90	KX-34852	rtc	2025-06-26	18:54:56.168	114	77
91	KW-46159	rtc	2025-06-26	18:55:13.683	136	78
92	KT-05088	rtc	2025-06-26	18:55:47.642	130	81
93	KN-95070	rtc	2025-06-26	18:56:31.557	146	80
94	LV-24993	rtc	2025-06-26	18:59:05.662	152	78
95	KW-85907	rtc	2025-06-26	19:00:06.094	154	74
96	NR-91128	rtc	2025-06-26	19:01:01.337	100	110
97	KX-49030	rtc	2025-06-26	19:06:56.501	133	79
98	GW-40671	rtc	2025-06-26	19:07:01.164	148	87
99	FP-86983	rtc	2025-06-26	19:09:26.712	144	111
100	NR-91128	rtc	2025-06-26	19:11:08.149	79	37
101	GF-29264	rtc	2025-06-26	19:15:42.42	133	74
102	GF-69798	rtc	2025-06-26	19:15:42.948	132	70
103	HC-83285	rtc	2025-06-26	19:15:43.215	107	6
104	GP-31281	rtc	2025-06-26	19:15:43.788	124	59
105	FW-30736	rtc	2025-06-26	19:15:44.421	121	65
106	LG-13501	rtc	2025-06-26	19:15:44.187	105	63
107	FG-54443	rtc	2025-06-26	19:15:44.866	104	65
108	GG-51543	rtc	2025-06-26	19:15:45.363	95	65
109	LP-03057	rtc	2025-06-26	19:15:45.776	94	59
110	PH-62812	rtc	2025-06-26	19:15:46.129	141	73
111	SL-56629	rtc	2025-06-26	19:15:46.259	124	60
112	HT-30097	rtc	2025-06-26	19:15:46.705	119	61
113	LW-00301	rtc	2025-06-26	19:15:47.039	124	65
114	FV-49510	rtc	2025-06-26	19:15:47.424	131	67
115	LR-18243	rtc	2025-06-26	19:15:48.062	113	69
116	CK-19263	rtc	2025-06-26	19:15:48.63	87	5
117	LN-17520	rtc	2025-06-26	19:15:48.61	127	60
118	PV-95861	rtc	2025-06-26	19:15:48.901	141	74
119	LR-66141	rtc	2025-06-26	19:15:50.402	93	66
120	HK-19996	rtc	2025-06-26	19:15:51.501	111	63
121	LP-50675	rtc	2025-06-26	19:15:51.253	128	68
122	FZ-53327	rtc	2025-06-26	19:15:52.466	125	69
123	FW-36577	rtc	2025-06-26	19:15:52.127	138	65
124	FW-34713	rtc	2025-06-26	19:15:52.642	133	58
125	GV-12435	rtc	2025-06-26	19:15:52.837	112	76
126	KZ-28953	rtc	2025-06-26	19:15:53.35	103	38
127	FW-28548	rtc	2025-06-26	19:15:53.556	128	60
128	GL-08020	rtc	2025-06-26	19:15:53.784	120	63
129	LP-96841	rtc	2025-06-26	19:15:54.392	116	64
130	GT-27925	rtc	2025-06-26	19:15:54.702	110	69
131	FW-21685	rtc	2025-06-26	19:15:55.247	135	52
132	FR-64273	rtc	2025-06-26	19:15:55.632	127	72
133	KT-13129	rtc	2025-06-26	19:15:55.253	120	64
134	GV-60255	rtc	2025-06-26	19:15:56.498	115	68
135	KG-44017	rtc	2025-06-26	19:15:56.714	98	64
136	FZ-87594	rtc	2025-06-26	19:15:56.227	145	67
137	FP-69647	rtc	2025-06-26	19:15:56.544	134	57
138	LP-08372	rtc	2025-06-26	19:15:57.155	122	69
139	FN-08645	rtc	2025-06-26	19:15:58.371	113	69
140	SL-62266	rtc	2025-06-26	19:15:58.964	132	68
141	HC-10200	rtc	2025-06-26	19:15:59.431	126	68
142	HT-99567	rtc	2025-06-26	19:16:00.223	112	70
143	GW-59062	rtc	2025-06-26	19:15:59.831	138	64
144	HF-49875	rtc	2025-06-26	19:16:00.703	123	76
145	GP-83110	rtc	2025-06-26	19:16:01.443	107	67
146	KP-60219	rtc	2025-06-26	19:16:02.062	116	68
147	KX-08416	rtc	2025-06-26	19:16:02.451	110	64
148	CP-00305	rtc	2025-06-26	19:16:02.808	91	31
149	RX-78582	rtc	2025-06-26	19:16:03.931	119	68
150	LN-62404	rtc	2025-06-26	19:16:03.79	113	69
151	KX-57659	rtc	2025-06-26	19:16:04.502	117	68
152	CW-61125	rtc	2025-06-26	19:16:05.463	119	71
153	LN-34063	rtc	2025-06-26	19:16:05.997	115	73
154	FW-60682	rtc	2025-06-26	19:16:06.752	118	71
155	FW-38370	rtc	2025-06-26	19:16:08.109	137	71
156	RV-17124	rtc	2025-06-26	19:16:08.819	105	67
157	CN-41373	rtc	2025-06-26	19:16:13.093	119	73
158	LV-85786	rtc	2025-06-26	19:16:14.053	109	68
159	LK-80130	rtc	2025-06-26	19:16:14.644	140	71
160	GT-27861	rtc	2025-06-26	19:16:16.868	129	66
161	FP-86983	rtc	2025-06-26	19:16:19.998	120	73
162	NR-91128	rtc	2025-06-26	19:16:22.296	135	73
163	LR-00811	rtc	2025-06-26	19:17:38.333	107	70
164	GF-69798	rtc	2025-06-26	19:24:14.982	131	75
165	GF-29264	rtc	2025-06-26	19:24:15.759	117	72
166	HC-83285	rtc	2025-06-26	19:24:22.422	128	6
167	LG-13501	rtc	2025-06-26	19:24:34.971	106	67
168	GP-31281	rtc	2025-06-26	19:25:19.281	126	65
169	LP-03057	rtc	2025-06-26	19:25:23.653	91	57
170	FG-54443	rtc	2025-06-26	19:25:24.229	108	61
171	FW-30736	rtc	2025-06-26	19:25:25.736	108	68
172	GG-51543	rtc	2025-06-26	19:25:27.101	103	62
173	PH-62812	rtc	2025-06-26	19:25:28.101	132	76
174	SL-56629	rtc	2025-06-26	19:25:29.026	131	74
175	LW-00301	rtc	2025-06-26	19:25:29.442	147	72
176	HT-30097	rtc	2025-06-26	19:25:29.962	126	67
177	FV-49510	rtc	2025-06-26	19:25:57.527	136	72
178	LN-17520	rtc	2025-06-26	19:25:59.449	93	66
179	CK-19263	rtc	2025-06-26	19:26:00.233	97	5
180	GV-12435	rtc	2025-06-26	19:26:01.706	121	80
181	PV-95861	rtc	2025-06-26	19:26:02.176	135	73
182	FW-21685	rtc	2025-06-26	19:26:02.897	129	67
183	LR-18243	rtc	2025-06-26	19:26:03.354	129	74
184	FW-28548	rtc	2025-06-26	19:26:03.995	138	66
185	LR-66141	rtc	2025-06-26	19:26:10.418	93	62
186	GL-08020	rtc	2025-06-26	19:26:25.017	140	76
187	GT-27925	rtc	2025-06-26	19:26:37.372	123	67
188	FW-34713	rtc	2025-06-26	19:26:39.663	95	62
189	FW-36577	rtc	2025-06-26	19:26:40.326	135	70
190	KG-44017	rtc	2025-06-26	19:26:41.914	120	79
191	FZ-53327	rtc	2025-06-26	19:26:42.813	122	72
192	FZ-87594	rtc	2025-06-26	19:26:43.431	144	70
193	FP-69647	rtc	2025-06-26	19:26:43.791	122	69
194	HK-19996	rtc	2025-06-26	19:26:44.369	129	71
195	KZ-28953	rtc	2025-06-26	19:26:45.71	103	41
196	FR-64273	rtc	2025-06-26	19:26:50.012	135	70
197	KT-13129	rtc	2025-06-26	19:26:59.706	120	71
198	HC-10200	rtc	2025-06-26	19:27:00.75	114	72
199	LP-08372	rtc	2025-06-26	19:27:06.155	126	73
200	LP-96841	rtc	2025-06-26	19:27:07.334	123	69
201	HT-99567	rtc	2025-06-26	19:27:14.671	127	74
202	GW-59062	rtc	2025-06-26	19:27:14.282	128	67
203	LP-50675	rtc	2025-06-26	19:27:15.429	157	75
204	GV-60255	rtc	2025-06-26	19:27:16.13	123	75
205	HF-49875	rtc	2025-06-26	19:27:26.341	128	77
206	KX-08416	rtc	2025-06-26	19:27:36.326	124	67
207	KX-57659	rtc	2025-06-26	19:28:01.525	113	62
208	CP-00305	rtc	2025-06-26	19:28:02.568	109	67
209	GP-83110	rtc	2025-06-26	19:28:03.534	109	68
210	FN-08645	rtc	2025-06-26	19:28:12.456	133	76
211	RX-78582	rtc	2025-06-26	19:28:13.341	139	77
212	SL-62266	rtc	2025-06-26	19:28:16.728	139	75
213	LN-34063	rtc	2025-06-26	19:28:17.766	135	72
214	LN-62404	rtc	2025-06-26	19:28:18.441	112	71
215	CW-61125	rtc	2025-06-26	19:28:33.599	130	73
216	KP-60219	rtc	2025-06-26	19:28:47.238	123	79
217	LR-00811	rtc	2025-06-26	19:28:51.631	150	79
218	LK-80130	rtc	2025-06-26	19:28:57.525	145	74
219	LV-85786	rtc	2025-06-26	19:29:00.333	152	73
220	FW-60682	rtc	2025-06-26	19:29:04.905	137	71
221	RV-17124	rtc	2025-06-26	19:29:05.318	99	66
222	FW-38370	rtc	2025-06-26	19:29:08.541	132	77
223	CN-41373	rtc	2025-06-26	19:29:23.515	150	76
224	FP-86983	rtc	2025-06-26	19:30:10.429	113	72
225	NR-91128	rtc	2025-06-26	19:31:01.445	128	74
226	GT-27861	rtc	2025-06-26	19:31:03.478	133	77
227	GF-69798	rtc	2025-06-26	19:32:52.783	133	74
228	HC-83285	rtc	2025-06-26	19:33:26.21	122	6
229	GF-29264	rtc	2025-06-26	19:33:45.298	131	79
230	LG-13501	rtc	2025-06-26	19:33:51.616	148	66
231	FG-54443	rtc	2025-06-26	19:35:06.829	125	57
232	LP-03057	rtc	2025-06-26	19:35:07.319	93	58
233	GP-31281	rtc	2025-06-26	19:35:14.518	130	56
234	GG-51543	rtc	2025-06-26	19:35:16.929	129	57
235	PH-62812	rtc	2025-06-26	19:35:29.671	132	75
236	LW-00301	rtc	2025-06-26	19:35:32.449	137	66
237	SL-56629	rtc	2025-06-26	19:35:32.951	142	79
238	HT-30097	rtc	2025-06-26	19:35:34.271	124	67
239	FW-30736	rtc	2025-06-26	19:35:43.319	114	65
240	LN-17520	rtc	2025-06-26	19:36:02.979	89	51
241	GV-12435	rtc	2025-06-26	19:36:12.886	113	78
242	FW-21685	rtc	2025-06-26	19:36:21.623	92	61
243	FV-49510	rtc	2025-06-26	19:36:25.49	136	70
244	LR-66141	rtc	2025-06-26	19:36:28.274	93	63
245	CK-19263	rtc	2025-06-26	19:36:38.037	91	5
246	PV-95861	rtc	2025-06-26	19:36:38.755	139	73
247	LR-18243	rtc	2025-06-26	19:36:38.459	130	71
248	GT-27925	rtc	2025-06-26	19:36:47.342	123	67
249	KG-44017	rtc	2025-06-26	19:37:16.467	121	72
250	FZ-87594	rtc	2025-06-26	19:37:30.84	137	64
251	FW-34713	rtc	2025-06-26	19:37:41.283	89	59
252	KT-13129	rtc	2025-06-26	19:37:46.261	122	55
253	FW-36577	rtc	2025-06-26	19:37:48.214	113	71
254	FR-64273	rtc	2025-06-26	19:37:49.342	133	71
255	FZ-53327	rtc	2025-06-26	19:37:50.373	136	76
256	KZ-28953	rtc	2025-06-26	19:37:50.451	102	23
257	HC-10200	rtc	2025-06-26	19:38:02.017	122	68
258	FP-69647	rtc	2025-06-26	19:38:04.023	117	64
259	GL-08020	rtc	2025-06-26	19:38:19.412	141	74
260	HK-19996	rtc	2025-06-26	19:38:19.871	130	74
261	LP-08372	rtc	2025-06-26	19:38:20.311	124	71
262	GW-59062	rtc	2025-06-26	19:38:21.654	140	69
263	LP-50675	rtc	2025-06-26	19:38:28.636	154	66
264	HF-49875	rtc	2025-06-26	19:38:32.295	131	78
265	HT-99567	rtc	2025-06-26	19:38:36.283	122	75
266	LP-96841	rtc	2025-06-26	19:38:37.797	125	66
